ID,Station,Latitude,Longitude
919,흑석,37.5091825,126.9633951
920,동작,37.5031333,126.9777743
921,구반포,37.5014384,126.9874422
922,신반포,37.5034962,126.9960331
923,고속터미널,37.5060026,127.0043179
924,사평,37.5043808,127.0150731
925,신논현,37.5044636,127.0245209
926,언주,37.5073234,127.0339087
927,선정릉,37.5101377,127.043412
928,삼성중앙,37.5129462,127.0529321
929,봉은사,37.5142495,127.0602304
930,종합운동장,37.5113717,127.0764306
931,삼전,37.5044913,127.087432
932,석촌고분,37.5024736,127.0970008
933,석촌,37.5051892,127.1072226
934,송파나루,37.5102974,127.1122348
935,한성백제,37.5164209,127.1162476
936,올림픽공원,37.5162427,127.1303441
937,둔촌오륜,37.5192709,127.1387274
938,중앙보훈병원,37.5288331,127.1485418
1175,광명,37.4164812,126.8847911
1181,당정,37.3433914,126.9483897
1187,서동탄,37.1956888,127.0519094
1299,지평,37.4768182,127.6289069
1300,용문,37.482095,127.5942681
1301,원덕,37.468719,127.5466435
1302,양평(경중),37.4926683,127.4918585
1303,아신,37.5139483,127.4432995
1304,국수,37.5161955,127.3994612
1305,신원,37.5255784,127.3730572
1306,양수,37.5459415,127.3291446
1307,운길산,37.554742,127.3099366
1308,팔당,37.5473258,127.2439137
1309,도심,37.5796446,127.2227421
1310,덕소,37.5869169,127.2088138
1311,양정,37.603994,127.1947468
1312,도농,37.6087585,127.1611277
1313,구리,37.6032734,127.1434278
1314,양원,37.6066358,127.1080081
1315,망우,37.5993046,127.0923538
1316,중랑,37.5949042,127.0758326
1317,회기,37.5891955,127.0570622
1318,용산,37.5295775,126.9650028
1390,상봉,37.5968152,127.0850533
1394,오빈,37.5061295,127.4738037
1401,송탄,37.0755124,127.0543827
1402,서정리,37.0566264,127.0528735
1403,평택지제,37.0188715,127.0704713
1404,평택,36.9902563,127.0858115
1405,성환,36.9160158,127.1269818
1406,직산,36.8708919,127.1437886
1407,두정,36.8338773,127.1489002
1408,천안,36.8101973,127.1464204
1409,봉명,36.8014599,127.136151
1410,쌍용(나사렛대),36.7937596,127.1213596
1411,아산,36.7921184,127.104573
1412,탕정,36.7882704,127.0846381
1413,배방,36.7775922,127.0528422
1415,온양온천,36.7805415,127.0031778
1416,신창(순천향대),36.7697881,126.9517949
1509,청량리,37.5806305,127.0479431
1510,왕십리,37.5615059,127.0387123
1511,서울숲,37.543654,127.04469
1512,압구정로데오,37.5273936,127.040572
1513,강남구청,37.5168484,127.0414041
1514,선정릉,37.5109245,127.043642
1515,선릉,37.5052768,127.0486062
1516,한티,37.4962147,127.0528945
1517,도곡,37.490994,127.0553677
1518,구룡,37.4870094,127.0593452
1519,개포동,37.4891822,127.0664956
1520,대모산입구,37.4913748,127.072761
1521,수서,37.4879265,127.1009107
1522,복정,37.4698373,127.1266572
1523,가천대,37.4487387,127.1266925
1524,태평,37.439869,127.127755
1525,모란,37.4321781,127.1290663
1526,야탑,37.4113197,127.1286745
1527,이매,37.3958531,127.128286
1528,서현,37.3849937,127.1234021
1529,수내,37.3784451,127.1142328
1530,정자,37.3661631,127.1080884
1531,미금,37.3507506,127.1089006
1532,오리,37.3398231,127.1089962
1533,보정,37.3127473,127.1082321
1534,죽전,37.3245825,127.1073978
1535,구성,37.2989066,127.1056769
1536,신갈,37.2861338,127.1113234
1537,기흥,37.2756463,127.1159514
1538,상갈,37.2618059,127.1087467
1539,청명,37.25948,127.0789586
1540,영통,37.2515233,127.0713409
1541,망포,37.2458072,127.0573753
1542,매탄권선,37.2527042,127.0406611
1543,수원시청,37.2618511,127.0311206
1544,매교,37.2655124,127.0157171
1545,수원,37.2665472,127.0011398
1606,효창공원앞,37.5386082,126.9625371
1607,공덕,37.542533,126.9519483
1608,서강대,37.5521672,126.9354452
